,Marca,Total de Ventas,Cantidad Vendida

0,Samsung,85931994.0,8680

1,Xiaomi,60747030.31,5074

2,Motorola,48805565.54,4847

3,Lg,34413645.32,5287

4,Huawei,22046252.84,1610

5,Otros,20239250.23,3818

6,Iphone,14743546.21,536

7,Caterpillar,3321233.68,270

8,Blu,2575412.21,862

9,Sony,1871479.93,191

10,Nokia,1679329.18,641

11,Hyundai,1151612.1,269

12,Alcatel,890456.6,296

13,Bgh,383218.93,106

14,Noblex,351207.0,56

15,Kanji,233674.9,272

16,Philco,209577.0,76

17,Philips,207255.73,52

18,Blackberry,132654.94,41

19,Nextel,19453.65,10

20,Ken Brown,9998.0,2